X	Y	Z	influencia	Az
4412288.499	7472885.23	nan	0.008567	354.2
4412358.02	7472885.23	nan	0.008442	354.2
4412427.54	7472885.23	nan	0.008321	354.2
4412497.061	7472885.23	nan	0.008205	354.2
4412566.582	7472885.23	nan	0.008094	354.2
4412636.102	7472885.23	nan	0.007986	354.2
4412705.623	7472885.23	nan	0.007882	354.2
4412775.143	7472885.23	nan	0.007782	354.2
4412844.664	7472885.23	nan	0.007685	354.2
4412914.184	7472885.23	nan	0.007591	354.2
4412983.705	7472885.23	nan	0.0075	354.2
4413053.225	7472885.23	nan	0.007412	354.2
4413122.746	7472885.23	nan	0.007327	354.2
4413192.267	7472885.23	nan	0.007244	354.2
4394282.677	7473064.339	-6840.460296	0.003108	354.2
4394352.198	7473064.339	-6840.837602	0.003117	354.2
4394421.719	7473064.339	-6841.095964	0.003125	354.2
4394491.239	7473064.339	-6841.226887	0.003134	354.2
4394560.76	7473064.339	-6841.227086	0.003143	354.2
4394630.28	7473064.339	-6841.095609	0.003152	354.2
4394699.801	7473064.339	-6840.830791	0.00316	354.2
4394769.321	7473064.339	-6840.42724	0.003169	354.2
4394838.842	7473064.339	-6839.8736	0.003178	354.2
4394908.362	7473064.339	-6839.152913	0.003188	354.2
4394977.883	7473064.339	-6838.244005	0.003197	354.2
4395047.404	7473064.339	-6837.119624	0.003206	354.2
4395116.924	7473064.339	-6835.74235	0.003215	354.2
4395186.445	7473064.339	-6834.065053	0.003225	354.2
4395255.965	7473064.339	-6832.037495	0.003234	354.2
4395325.486	7473064.339	-6829.612815	0.003244	354.2
4395395.006	7473064.339	-6826.750542	0.003253	354.2
4395464.527	7473064.339	-6823.418578	0.003263	354.2
4395534.047	7473064.339	-6819.59317	0.003273	354.2
4395603.568	7473064.339	-6815.254419	0.003282	354.2
4395673.088	7473064.339	-6810.38364	0.003292	354.2
4395742.609	7473064.339	-6804.969572	0.003302	354.2
4395812.13	7473064.339	-6799.015718	0.003312	354.2
4395881.65	7473064.339	-6792.537525	0.003323	354.2
4395951.171	7473064.339	-6785.555083	0.003333	354.2
4396020.691	7473064.339	-6778.093984	0.003343	354.2
4396090.212	7473064.339	-6770.191248	0.003354	354.2
4396159.732	7473064.339	-6761.894006	0.003364	354.2
4396229.253	7473064.339	-6753.250761	0.003375	354.2
4396298.773	7473064.339	-6744.304683	0.003385	354.2
4396368.294	7473064.339	-6735.091983	0.003396	354.2
4396437.814	7473064.339	-6725.642093	0.003407	354.2
4396507.335	7473064.339	-6715.979273	0.003418	354.2
4396576.856	7473064.339	-6706.126462	0.003429	354.2
4396646.376	7473064.339	-6696.10844	0.00344	354.2
4396715.897	7473064.339	-6685.951505	0.003451	354.2
4396785.417	7473064.339	-6675.681197	0.003463	354.2
4396854.938	7473064.339	-6665.320435	0.003474	354.2
4396924.458	7473064.339	-6654.887936	0.003486	354.2
4396993.979	7473064.339	-6644.396731	0.003497	354.2
4397063.499	7473064.339	-6633.853877	0.003509	354.2
4397133.02	7473064.339	-6623.261729	0.003521	354.2
4397202.54	7473064.339	-6612.619637	0.003533	354.2
4397272.061	7473064.339	-6601.925491	0.003545	354.2
4397341.582	7473064.339	-6591.177689	0.003557	354.2
4397411.102	7473064.339	-6580.377574	0.003569	354.2
4397480.623	7473064.339	-6569.531227	0.003582	354.2
4397550.143	7473064.339	-6558.649794	0.003594	354.2
4397619.664	7473064.339	-6547.748581	0.003607	354.2
4397689.184	7473064.339	-6536.845662	0.00362	354.2
4397758.705	7473064.339	-6525.9607	0.003633	354.2
4397828.225	7473064.339	-6515.114405	0.003646	354.2
4397897.746	7473064.339	-6504.329119	0.003659	354.2
4397967.267	7473064.339	-6493.631282	0.003672	354.2
4398036.787	7473064.339	-6483.055193	0.003685	354.2
4398106.308	7473064.339	-6472.643929	0.003699	354.2
4398175.828	7473064.339	-6462.44219	0.003713	354.2
4398245.349	7473064.339	-6452.481934	0.003726	354.2
4398314.869	7473064.339	-6442.769723	0.00374	354.2
4398384.39	7473064.339	-6433.284859	0.003754	354.2
