X Y Z K_gauss trend plunge
4402694.664 7472885.23 -5172.237451 1.18E-10 269.784 59.593
4402764.184 7472885.23 -5131.14069 1.08E-10 269.785 59.363
4402833.705 7472885.23 -5089.361088 9.79E-11 269.778 59.151
4402903.225 7472885.23 -5047.082363 8.66E-11 269.762 58.954
4402972.746 7472885.23 -5004.448136 7.34E-11 269.738 58.772
4403042.267 7472885.23 -4961.516282 5.76E-11 269.704 58.608
4403111.787 7472885.23 -4918.288103 3.85E-11 269.66 58.465
4403181.308 7472885.23 -4874.756905 1.62E-11 269.607 58.351
4403250.828 7472885.23 -4830.938802 -8.76E-12 269.544 58.272
4403320.349 7472885.23 -4786.882862 -3.55E-11 269.472 58.234
4403389.869 7472885.23 -4742.668429 -6.33E-11 269.392 58.242
4403459.39 7472885.23 -4698.397097 -9.24E-11 269.303 58.297
4403528.91 7472885.23 -4654.186089 -1.24E-10 269.206 58.4
4403598.431 7472885.23 -4610.16642 -1.60E-10 269.099 58.549
4403667.951 7472885.23 -4566.48404 -2.02E-10 268.983 58.743
4403737.472 7472885.23 -4523.29661 -2.52E-10 268.855 58.976
4403806.993 7472885.23 -4480.759066 -3.09E-10 268.716 59.242
4403876.513 7472885.23 -4439.00246 -3.71E-10 268.564 59.536
4403946.034 7472885.23 -4398.118231 -4.33E-10 268.401 59.848
4404015.554 7472885.23 -4358.150123 -4.91E-10 268.227 60.173
4404085.075 7472885.23 -4319.087722 -5.39E-10 268.044 60.504
4404154.595 7472885.23 -4280.866282 -5.71E-10 267.853 60.839
4404224.116 7472885.23 -4243.381922 -5.85E-10 267.658 61.177
4404293.636 7472885.23 -4206.512766 -5.77E-10 267.461 61.521
4404363.157 7472885.23 -4170.124731 -5.49E-10 267.265 61.872
4404432.677 7472885.23 -4134.060444 -5.01E-10 267.072 62.235
4404502.198 7472885.23 -4098.140439 -4.39E-10 266.882 62.613
4404571.719 7472885.23 -4062.208786 -3.70E-10 266.697 63.011
4404641.239 7472885.23 -4026.214741 -2.99E-10 266.517 63.43
4404710.76 7472885.23 -3990.271751 -2.33E-10 266.339 63.874
4404780.28 7472885.23 -3954.638586 -1.75E-10 266.163 64.343
4404849.801 7472885.23 -3919.632911 -1.27E-10 265.989 64.842
4404919.321 7472885.23 -3885.54172 -8.73E-11 265.816 65.37
4404988.842 7472885.23 -3852.580749 -5.45E-11 265.645 65.933
4405058.362 7472885.23 -3820.900112 -2.51E-11 265.477 66.534
4405127.883 7472885.23 -3790.59501 4.27E-12 265.316 67.177
4405197.404 7472885.23 -3761.694804 3.62E-11 265.164 67.865
4405266.924 7472885.23 -3734.147116 7.15E-11 265.025 68.599
4405336.445 7472885.23 -3707.827361 1.09E-10 264.903 69.372
4405405.965 7472885.23 -3682.578175 1.46E-10 264.805 70.175
4405475.486 7472885.23 -3658.261738 1.78E-10 264.735 70.99
4405545.006 7472885.23 -3634.808303 2.01E-10 264.7 71.802
4405614.527 7472885.23 -3612.244178 2.08E-10 264.705 72.593
4405684.047 7472885.23 -3590.683717 1.93E-10 264.756 73.353
4405753.568 7472885.23 -3570.288788 1.49E-10 264.854 74.074
